LatinName,PolishName,Description,Edibility,Toxicity,Habitat
Agrocybe firma,Polówka twarda,"Grzyb o brązowym, twardym kapeluszu. Rośnie na ziemi w lasach liściastych i mieszanych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Mieszany
"
Agrocybe pediades,Polówka półkulista,"Grzyb o półkulistym, ochrowym kapeluszu. Rośnie na łąkach i pastwiskach. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Nie trujący,"Liściasty
"
Agrocybe praecox,Polówka wczesna,"Grzyb o jasnobrązowym kapeluszu. Rośnie na ziemi w lasach, parkach i ogrodach. Owocniki pojawiają się wiosną i wczesnym latem",Jadalny,Nie trujący,"Mieszany
"
Agrocybe putaminum,Polówka łuskowa,"Grzyb o brązowym, łuskowatym kapeluszu. Rośnie na resztkach roślinnych w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Albatrellus ovinus,Naziemek białawy,"Grzyb o białawym, nieregularnym kapeluszu. Rośnie na ziemi w lasach iglastych. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Iglasty
"
Aleuria aurantia,Dzieżka pomarańczowa,"Grzyb o jaskrawopomarańczowym, miseczkowatym owocniku. Rośnie na ziemi w lasach liściastych i mieszanych. Owocniki pojawiają się od lata do jesieni",Niejadalny,Nie trujący,"Mieszany
"
Amanita abrupta,Muchomor ostry,Grzyb o białym kapeluszu z ostrym wierzchołkiem. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita aestivalis,Muchomor letni,Grzyb o białawym kapeluszu z szarymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem,Niejadalny,Trujący,"Liściasty
"
Amanita albemarlensis,Muchomor albemarlski,Grzyb o białawym kapeluszu z szarymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita albocreata,Muchomor białoczepkowy,Grzyb o białym kapeluszu z białymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita aprica,Muchomor słoneczny,Grzyb o żółtawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita augusta,Muchomor okazały,"Grzyb o dużym, brązowym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Amanita batonrougensis,Muchomor batonrougeski,Grzyb o białawym kapeluszu z szarymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita bisporigera,Muchomor dwuzarodnikowy,Grzyb o białym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Śmiertelnie trujący,"Liściasty
"
Amanita brunnescens,Muchomor brązowiejący,"Grzyb o białawym kapeluszu, który brązowieje po uszkodzeniu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Amanita calyptratoides,Muchomor czepkowaty,Grzyb o białawym kapeluszu z szarymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita calyptroderma,Muchomor skórzastoczepkowy,Grzyb o białawym kapeluszu z brązowymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita canescens,Muchomor siwawy,Grzyb o szarawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita chrysoblema,Muchomor złotobrzegi,Grzyb o białawym kapeluszu ze złotymi brzegami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita constricta,Muchomor przewężony,Grzyb o białawym kapeluszu z charakterystycznym przewężeniem na trzonie. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita cornelihybrida,Muchomor Corneliego,Grzyb o białawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita crenulata,Muchomor karbowany,Grzyb o białawym kapeluszu z karbowanym brzegiem. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita cruentilemurum,Muchomor krwawiący,"Grzyb o białawym kapeluszu, który czerwienieje po uszkodzeniu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Amanita cyclops,Muchomor cyklop,Grzyb o brązowawym kapeluszu z jedną centralną łatką. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita daucipes,Muchomor marchwiowaty,Grzyb o białawym kapeluszu z pomarańczowymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita echinocephala,Muchomor jeżogłowy,Grzyb o białawym kapeluszu pokrytym ostrymi łuskami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita flavoconia,Muchomor żółtostożkowy,Grzyb o żółtym kapeluszu z białymi łatkami. Rośnie w lasach liściastych i iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Mieszany
"
Amanita flavorubens,Muchomor żółtoczerwony,Grzyb o żółtawym kapeluszu z czerwonawymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita foetidissima,Muchomor cuchnący,Grzyb o białawym kapeluszu o nieprzyjemnym zapachu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita frostiana,Muchomor Frosta,Grzyb o pomarańczowym kapeluszu z białymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita jacksonii,Muchomor Jacksona,Grzyb o pomarańczowym kapeluszu z białymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita kryorhodon,Muchomor różowy,Grzyb o różowawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita lavendula,Muchomor lawendowy,Grzyb o lawendowym odcieniu kapelusza. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita longicuneus,Muchomor długostożkowy,"Grzyb o białawym kapeluszu z długim, stożkowatym wierzchołkiem. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Amanita magnivelaris,Muchomor wielkoosłonowy,Grzyb o białawym kapeluszu z dużą osłoną. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita magniverrucata,Muchomor wielkobroadawkowy,Grzyb o białawym kapeluszu z dużymi brodawkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita multisquamosa,Muchomor wielołuskowy,Grzyb o białawym kapeluszu pokrytym licznymi łuskami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita muscaria,Muchomor czerwony,Grzyb o czerwonym kapeluszu z białymi łatkami. Rośnie w lasach liściastych i iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Mieszany
"
Amanita mutabilis,Muchomor zmienny,Grzyb o kapeluszu zmieniającym kolor w zależności od warunków. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita nothofagi,Muchomor bukowy,Grzyb o białawym kapeluszu. Rośnie w lasach bukowych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita novinupta,Muchomor nowożeński,Grzyb o białawym kapeluszu z różowawym odcieniem. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita ocreata,Muchomor białawy,Grzyb o białym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Śmiertelnie trujący,"Liściasty
"
Amanita onusta,Muchomor obciążony,Grzyb o szarawym kapeluszu z ciemnymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita pachycolea,Muchomor grubopochewkowy,Grzyb o białawym kapeluszu z grubą pochwą u podstawy trzonu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita pantherina,Muchomor plamisty,Grzyb o brązowym kapeluszu z białymi łatkami. Rośnie w lasach liściastych i iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Mieszany
"
Amanita pekeoides,Muchomor pekeoidalny,Grzyb o białawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita phalloides,Muchomor zielonawy,Grzyb o oliwkowozielonym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Śmiertelnie trujący,"Liściasty
"
Amanita polypyramis,Muchomor wielopiramidowy,Grzyb o białawym kapeluszu z piramidalnymi brodawkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita porphyria,Muchomor porfirowy,Grzyb o brązowawym kapeluszu z fioletowym odcieniem. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Iglasty
"
Amanita praecox,Muchomor wczesny,Grzyb o białawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się wczesnym latem,Niejadalny,Trujący,"Liściasty
"
Amanita protecta,Muchomor osłonięty,Grzyb o białawym kapeluszu z wyraźną osłoną. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita pseudopenetrans,Muchomor fałszywie przenikający,Grzyb o białawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita ravenelii,Muchomor Ravenela,Grzyb o białawym kapeluszu z szarymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita regalis,Muchomor królewski,Grzyb o brązowym kapeluszu z żółtymi łatkami. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Iglasty
"
Amanita rhacopus,Muchomor łachmanowaty,Grzyb o białawym kapeluszu z postrzępionymi łatkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita rooseveltensis,Muchomor Roosevelta,Grzyb o białawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita silvicola,Muchomor leśny,Grzyb o białawym kapeluszu. Rośnie w lasach liściastych i iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Mieszany
"
Amanita sinicoflava,Muchomor sinożółty,Grzyb o żółtawym kapeluszu z niebieskim odcieniem. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita smithiana,Muchomor Smitha,Grzyb o białawym kapeluszu. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Iglasty
"
Amanita solaniolens,Muchomor ziemniaczany,Grzyb o białawym kapeluszu o zapachu przypominającym ziemniaki. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita spreta,Muchomor wzgardzony,Grzyb o szarawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita strobiliformis,Muchomor szyszkowaty,Grzyb o białawym kapeluszu pokrytym piramidalnymi brodawkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita suballiacea,Muchomor czosnkowy,Grzyb o białawym kapeluszu o zapachu czosnku. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita submaculata,Muchomor plamkowaty,Grzyb o białawym kapeluszu z drobnymi plamkami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita texasorora,Muchomor teksański,Grzyb o białawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita thiersii,Muchomor Thiersa,Grzyb o białawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita velatipes,Muchomor osłoniasty,Grzyb o białawym kapeluszu z wyraźną osłoną na trzonie. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita velosa,Muchomor kosmaty,Grzyb o białawym kapeluszu pokrytym drobnymi włoskami. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amanita vernicoccora,Muchomor lakierowany,"Grzyb o błyszczącym, jakby polakierowanym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Trujący,"Liściasty
"
Amanita whetstoneae,Muchomor Whetstone'a,Grzyb o białawym kapeluszu. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Trujący,"Liściasty
"
Amauroderma,Lakownica,"Rodzaj grzybów o twardych, lakierowanych owocnikach. Rosną na martwym drewnie w lasach tropikalnych i subtropikalnych",Niejadalny,Nie trujący,"Liściasty
"
Ampulloclitocybe clavipes,Lejkówka maczugonoga,"Grzyb o szarobrązowym, lejkowatym kapeluszu i maczugowatym trzonie. Rośnie w lasach iglastych i liściastych. Owocniki pojawiają się od lata do jesieni",Niejadalny,Nie trujący,"Mieszany
"
Apioperdon pyriforme,Purchawka gruszkowata,"Grzyb o gruszkowatym kształcie, białawy do brązowego. Rośnie na martwym drewnie w lasach liściastych. Owocniki pojawiają się od lata do jesieni",Jadalny (gdy młody),Nie trujący,"Liściasty
"
Armillaria,Opieńka,Rodzaj grzybów pasożytniczych o miodowym kolorze. Rosną na żywych i martwych drzewach. Owocniki pojawiają się jesienią,"Niektóre jadalne, inne niejadalne",Niektóre trujące,"Mieszany
"
Armillaria gallica,Opieńka ciemna,Grzyb o brązowym kapeluszu z ciemniejszymi łuskami. Rośnie na drzewach liściastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Liściasty
"
Armillaria mellea,Opieńka miodowa,Grzyb o miodowożółtym kapeluszu. Rośnie na żywych i martwych drzewach liściastych i iglastych. Owocniki pojawiają się jesienią,Jadalny (po obróbce),Trujący (na surowo),"Mieszany
"
Armillaria nabsnona,Opieńka północnoamerykańska,Grzyb o brązowym kapeluszu. Rośnie na drzewach iglastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Iglasty
"
Armillaria sinapina,Opieńka musztardowa,Grzyb o żółtawobrązowym kapeluszu. Rośnie na drzewach liściastych. Owocniki pojawiają się jesienią,Niejadalny,Nie trujący,"Liściasty
"
Armillaria solidipes,Opieńka ciemnołuskowa,Grzyb o brązowym kapeluszu z ciemnymi łuskami. Rośnie na drzewach iglastych. Owocniki pojawiają się jesienią,Jadalny (po obróbce),Trujący (na surowo),"Iglasty
"
Armillaria tabescens,Opieńka bezpierścieniowa,Grzyb o miodowożółtym kapeluszu bez pierścienia na trzonie. Rośnie na drzewach liściastych. Owocniki pojawiają się jesienią,Jadalny,Nie trujący,"Liściasty
"
Arrhenia chlorocyanea,Łycznik zielonomodry,"Grzyb o małym, niebiesko-zielonym kapeluszu. Rośnie na mchach w wilgotnych lasach. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Mieszany
"
Arrhenia epichysium,Łycznik miseczkowaty,"Grzyb o małym, szarym, miseczkowatym kapeluszu. Rośnie na martwym drewnie w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Artomyces pyxidatus,Koralówka kieliszkowata,Grzyb o koralowatym owocniku z kieliszkowatymi zakończeniami. Rośnie na martwym drewnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Asterophora lycoperdoides,Grzybolubka purchawkowata,"Grzyb pasożytujący na innych grzybach, o kształcie przypominającym małą purchawkę. Rośnie na rozkładających się owocnikach gołąbków i mleczajów. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Mieszany
"
Asterophora parasitica,Grzybolubka lepka,"Grzyb pasożytujący na innych grzybach, o lepkim kapeluszu. Rośnie na rozkładających się owocnikach gołąbków i mleczajów. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Mieszany
"
Astraeus hygrometricus,Promieniak wilgociomierz,"Grzyb o kulistym owocniku, który otwiera się gwiaździście w wilgotnych warunkach. Rośnie na ziemi w lasach liściastych i iglastych. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Mieszany
"
Atheniella adonis,Grzybówka różowa,"Grzyb o małym, różowym kapeluszu. Rośnie na ściółce w lasach liściastych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Liściasty
"
Aureoboletus flaviporus,Złotak żółtopory,Grzyb o brązowym kapeluszu i żółtych porach. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Aureoboletus mirabilis,Złotak wspaniały,Grzyb o czerwonobrązowym kapeluszu i żółtych porach. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Iglasty
"
Auricularia,Uszak,Rodzaj grzybów o galaretowatej konsystencji i kształcie przypominającym ucho. Rosną na martwym drewnie. Owocniki pojawiają się przez cały rok,Jadalny,Nie trujący,"Mieszany
"
Auricularia americana,Uszak amerykański,"Grzyb o brązowym, uszkowatym owocniku. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Jadalny,Nie trujący,"Liściasty
"
Auricularia angiospermarum,Uszak angiospermowy,"Grzyb o brązowym, uszkowatym owocniku. Rośnie na martwym drewnie drzew liściastych. Owocniki pojawiają się przez cały rok",Jadalny,Nie trujący,"Liściasty
"
Auriscalpium vulgare,Szyszkogłówka kolczasta,"Grzyb o brązowym, łopatkowatym kapeluszu z kolcami na spodzie. Rośnie na opadłych szyszkach sosen. Owocniki pojawiają się przez cały rok",Niejadalny,Nie trujący,"Iglasty
"
Austroboletus,Złotak,Rodzaj grzybów o kolorowych kapeluszach i porach. Rosną w lasach liściastych i iglastych. Owocniki pojawiają się latem i jesienią,"Niektóre jadalne, inne niejadalne",Nie trujący,"Mieszany
"
Austroboletus eburneus,Złotak kościany,Grzyb o białym kapeluszu i porach. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Austroboletus gracilis,Złotak smukły,Grzyb o brązowym kapeluszu i białych porach. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Austroboletus lacunosus,Złotak jamkowaty,Grzyb o brązowym kapeluszu z jamkami na powierzchni. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Austroboletus subflavidus,Złotak żółtawy,Grzyb o żółtawym kapeluszu i porach. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Baeospora myosura,Szyszkówka mysia,"Grzyb o małym, brązowym kapeluszu. Rośnie na opadłych szyszkach drzew iglastych. Owocniki pojawiają się jesienią i zimą",Niejadalny,Nie trujący,"Iglasty
"
Baeospora myriadophylla,Szyszkówka tysiącblaszkowa,"Grzyb o małym, brązowym kapeluszu z licznymi blaszkami. Rośnie na martwym drewnie w lasach liściastych. Owocniki pojawiają się jesienią i zimą",Niejadalny,Nie trujący,"Liściasty
"
Battarrea phalloides,Piaskowiec kształtny,Grzyb o długim trzonie i kulistym kapeluszu. Rośnie na piaszczystych glebach w suchych lasach i na wydmach. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Mieszany
"
Bolbitius,Gnojanka,"Rodzaj grzybów o delikatnych, szybko rozkładających się owocnikach. Rosną na odchodach i resztkach roślinnych. Owocniki pojawiają się od wiosny do jesieni",Niejadalny,Nie trujący,"Mieszany
"
Boletellus,Złociec,Rodzaj grzybów o kolorowych kapeluszach i porach. Rosną w lasach liściastych i iglastych. Owocniki pojawiają się latem i jesienią,"Niektóre jadalne, inne niejadalne",Nie trujący,"Mieszany
"
Boletellus chrysenteroides,Złociec złotawy,Grzyb o żółtym kapeluszu i porach. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Jadalny,Nie trujący,"Liściasty
"
Boletellus emodensis,Złociec himalajski,Grzyb o brązowym kapeluszu i czerwonych porach. Rośnie w lasach iglastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Iglasty
"
Boletinellus merulioides,Złotak siatkowaty,Grzyb o brązowym kapeluszu i siateczkowatych porach. Rośnie w lasach liściastych. Owocniki pojawiają się latem i jesienią,Niejadalny,Nie trujący,"Liściasty
"
Boletopsis grisea,Szaraczek sosnowy,"Grzyb o szarym kapeluszu i porach. Rośnie w lasach iglastych, zwłaszcza sosnowych. Owocniki pojawiają się latem i jesienią",Niejadalny,Nie trujący,"Iglasty
"
Boletus aereus,Borowik brązowy,"Grzyb o ciemnobrązowym kapeluszu i białych porach. Rośnie w lasach liściastych, zwłaszcza pod dębami. Owocniki pojawiają się latem i jesienią",Jadalny,Nie trujący,"Liściasty
"
